User ID,Firstname,Lastname,Middlename,Email,Phone Number
3130,Rosella,Burks,,BurksR@univ.edu,963.555.1253
3297,Damien,Avila,,AvilaD@univ.edu,963.555.1352
3547,Robin,Olsen,,OlsenR@univ.edu,963.555.1378
1538,Edgar,Moises,Estes,MoisesE@univ.edu,963.555.2731x3565
2941,Heath,Brian,Pruitt,BrianH@univ.edu,963.555.2800
2401,Elvin,Claude,Haney,ClaudeE@univ.edu,963.555.2902
2070,Edmund,Mosley,,MosleyE@univ.edu,963.555.2945
2561,Antoine,Derek,Mccoy,DerekA@univ.edu,963.555.2992
1625,Callie,Hawkins,,HawkinsC@univ.edu,963.555.3350x6480
1307,Andrea,Pate,,PateA@univ.edu,963.555.3723
2342,Liz,Austin,,AustinL@univ.edu,963.555.4305
2755,Reba,Kendrick,Alford,KendrickR@univ.edu,963.555.4618x7744
4150,Angelina,Sims,,SimsA@univ.edu,963.555.5278
3544,Kimberly,Mullins,,MullinsK@univ.edu,963.555.5471x1017
2096,Lloyd,Chuck,Haney,ChuckL@univ.edu,963.555.5568x2652
1089,Ladonna,Payne,,PayneL@univ.edu,963.555.5639
2948,Johnathan,Baxter,Browning,BaxterJ@univ.edu,963.555.5902
4539,Gilbert,Weiss,,WeissG@univ.edu,963.555.5969
2811,Florence,Deirdre,Barrera,DeirdreF@univ.edu,963.555.6319
4580,Toby,Fernando,Calderon,FernandoT@univ.edu,963.555.6469
2895,Patrica,Garrison,,GarrisonP@univ.edu,963.555.6760
2254,Leila,Effie,Vinson,EffieL@univ.edu,963.555.6824
2389,Rose,Buckley,,BuckleyR@univ.edu,963.555.6855x5018
1699,Kathie,Stanton,,StantonK@univ.edu,963.555.7095
1567,Shannon,Banks,,BanksS@univ.edu,963.555.7198
3066,Cleo,Barnes,,BarnesC@univ.edu,963.555.7463x7335
2426,Nellie,Brady,,BradyN@univ.edu,963.555.7569
2217,Ruben,Katheryn,Holt,KatherynR@univ.edu,963.555.7578
1968,Dianne,Michael,,MichaelD@univ.edu,963.555.7592
3012,Adam,Grant,,GrantA@univ.edu,963.555.7775
1824,Kurtis,Head,,HeadK@univ.edu,963.555.7882
3929,Jami,Berger,,BergerJ@univ.edu,963.555.8158
2682,Jaime,Earline,Fitzgerald,EarlineJ@univ.edu,963.555.8357
3112,Summer,Evelyn,Frost,EvelynS@univ.edu,963.555.8895
2303,Sam,Quentin,Hyde,QuentinS@univ.edu,963.555.8921
3903,Ann,Dunlap,,DunlapA@univ.edu,963.555.9067
3095,Rich,Shields,Pena,ShieldsR@univ.edu,963.555.9197
2383,Winnie,Page,,PageW@univ.edu,963.555.9366
2146,Ezra,Sparks,,SparksE@univ.edu,963.555.9390
3958,Elba,Kaufman,,KaufmanE@univ.edu,963.555.9507
